item_id,condition,true_phrase,false_phrase,audio_true,audio_false
stim1,presupposed,"C'est près de Naples que se trouve Pompéi, ville détruite par une éruption du Vésuve. ","C'est près de Naples que se trouve Pompéi, ville détruite par une éruption de l'Etna. ",audio/Presupposed_Condition/PCondition_Stim1_Pompei_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim1_Pompei_Distorted.wav
stim1,focalized ,"C'est le Vésuve qui a détruit Pompéi, ville située près de Naples.","C'est l'Etna qui a détuit Pompéi, ville située près de Naples.",audio/Focalized_Condition/FCondition_Stim1_Pompei_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim1_Pompei_Distorted.wav
stim2,presupposed,Ce sont deux animaux de chaque espèce que Noé a pris sur l'Arche.,Ce sont deux animaux de chaque espèce que Moïse a pris sur l'Arche. ,audio/Presupposed_Condition/PCondition_Stim2_Arche_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim2_Arche_Distorted.wav
stim2,focalized,C'est Noé qui a pris deux animaux de chaque espèce sur l'Arche. ,C'est Moïse qui a pris deux animaux de chaque espèce sur l'Arche. ,audio/Focalized_Condition/FCondition_Stim2_Arche_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim2_Arche_Distorted.wav
stim3,presupposed,C'est à la fin du 15ème siècle que Christophe Colomb a découvert l'Amérique ,C'est à la fin du 15ème siècle que Fernand de Magellan a découvert l'Amérique. ,audio/Presupposed_Condition/PCondition_Stim3_Amerique_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim3_Amerique_Distorted.wav
stim3,focalized,C'est Christophe Colomb qui a découvert l'Amérique à la fin du 15ème siècle. ,C'est Fernand de Magellan qui a découvert l'Amérique à la fin du 15ème siècle. ,audio/Focalized_Condition/FCondition_Stim3_Amerique_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim3_Amerique_Distorted.wav
stim4,presupposed,C'est la sauce mexicaine appelée guacamole qui est faite d'avocat. ,C'est la sauce mexicaine appelée guacamole qui est faite d'artichaut. ,audio/Presupposed_Condition/PCondition_Stim4_Guacamole_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim4_Guacamole_Distorted.wav
stim 4,focalized ,C'est de l'avocat qui compose la sauce mexicaine appelée guacamole. ,C'est de l'artichaut qui compose la sauce mexicaine appelée guacamole. ,audio/Focalized_Condition/FCondition_Stim4_Guacamole_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim4_Guacamole_Distorted.wav
stim5,presupposed,C'est dans l'alphabet francophone qu'on trouve 26 lettres.,C'est dans l'alphabet francophone qu'on trouve 26 chiffres. ,audio/Presupposed_Condition/PCondition_Stim5_Alphabet_Undistorted.wav,audio/Presupposed_Condition/PCondition_Stim5_Alphabet_Distorted.wav
stim5,focalized,C'est 26 lettres qui se trouvent dans l'alphabet francophone. ,C'est 26 chiffres qui se trouvent dans l'alphabet francophone. ,audio/Focalized_Condition/FCondition_Stim5_Alphabet_Undistorted.wav,audio/Focalized_Condition/FCondition_Stim5_Alphabet_Distorted.wav
